id_customer,nama,email
67,Customer_67,cust67@outlook.com
68,Customer_68,cust68@gmail.com
69,Customer_69,cust69@gmail.com
70,Customer_70,cust70gmail.com
71,Customer_71,cust71@yahoo.com
72,Customer_72,cust72@gmail.com
73,Customer_73,cust73@yahoo.com
74,Customer_74,cust74@outlook.com
75,Customer_75,
76,Customer_76,cust76@outlook.com
77,Customer_77,cust77@outlook.com
78,Customer_78,cust78@outlook.com
79,Customer_79,cust79@outlook.com
80,Customer_80,cust80@yahoo.com
81,Customer_81,cust81@outlook.com
82,Customer_82,cust82@yahoo.com
83,Customer_83,cust83@gmail.com
84,Customer_84,cust84yahoo.com
85,Customer_85,cust85@gmail.com
86,Customer_86,cust86@gmail.com
87,Customer_87,cust87@outlook.com
88,Customer_88,cust88@gmail.com
89,Customer_89,cust89@gmail.com
90,Customer_90,cust90@gmail.com
91,Customer_91,cust91@gmail.com
92,Customer_92,cust92@gmail.com
93,Customer_93,cust93@outlook.com
94,Customer_94,cust94@outlook.com
95,Customer_95,cust95@outlook.com
96,Customer_96,cust96@outlook.com
97,Customer_97,cust97@yahoo.com
98,Customer_98,cust98yahoo.com
99,Customer_99,cust99@outlook.com
100,Customer_100,
101,Customer_101,cust101@gmail.com
102,Customer_102,cust102@gmail.com
103,Customer_103,cust103@yahoo.com
104,Customer_104,cust104@gmail.com
105,Customer_105,cust105@gmail.com
106,Customer_106,cust106@yahoo.com
107,Customer_107,cust107@gmail.com
108,Customer_108,cust108@gmail.com
109,Customer_109,cust109@gmail.com
110,Customer_110,cust110@yahoo.com
111,Customer_111,cust111@yahoo.com
112,Customer_112,cust112yahoo.com
113,Customer_113,cust113@gmail.com
114,Customer_114,cust114@outlook.com
115,Customer_115,cust115@yahoo.com
116,Customer_116,cust116@yahoo.com
117,Customer_117,cust117@gmail.com
118,Customer_118,cust118@gmail.com
119,Customer_119,cust119@gmail.com
120,Customer_120,cust120@gmail.com
121,Customer_121,cust121@gmail.com
122,Customer_122,cust122@gmail.com
123,Customer_123,cust123@yahoo.com
124,Customer_124,cust124@outlook.com
125,Customer_125,
126,Customer_126,cust126yahoo.com
127,Customer_127,cust127@gmail.com
128,Customer_128,cust128@outlook.com
129,Customer_129,cust129@outlook.com
130,Customer_130,cust130@yahoo.com
131,Customer_131,cust131@yahoo.com
132,Customer_132,cust132@gmail.com
133,Customer_133,cust133@yahoo.com
134,Customer_134,cust134@yahoo.com
135,Customer_135,cust135@yahoo.com
136,Customer_136,cust136@yahoo.com
137,Customer_137,cust137@gmail.com
138,Customer_138,cust138@gmail.com
139,Customer_139,cust139@yahoo.com
140,Customer_140,cust140outlook.com
141,Customer_141,cust141@outlook.com
142,Customer_142,cust142@outlook.com
143,Customer_143,cust143@outlook.com
144,Customer_144,cust144@yahoo.com
145,Customer_145,cust145@gmail.com
146,Customer_146,cust146@gmail.com
147,Customer_147,cust147@yahoo.com
148,Customer_148,cust148@gmail.com
149,Customer_149,cust149@yahoo.com
150,Customer_150,
151,Customer_151,cust151@yahoo.com
152,Customer_152,cust152@gmail.com
153,Customer_153,cust153@yahoo.com
154,Customer_154,cust154outlook.com
155,Customer_155,cust155@outlook.com
156,Customer_156,cust156@gmail.com
157,Customer_157,cust157@yahoo.com
158,Customer_158,cust158@yahoo.com
159,Customer_159,cust159@yahoo.com
160,Customer_160,cust160@outlook.com
161,Customer_161,cust161@yahoo.com
162,Customer_162,cust162@outlook.com
163,Customer_163,cust163@yahoo.com
164,Customer_164,cust164@gmail.com
165,Customer_165,cust165@yahoo.com
166,Customer_166,cust166@outlook.com
167,Customer_167,cust167@gmail.com
168,Customer_168,cust168outlook.com
169,Customer_169,cust169@outlook.com
170,Customer_170,cust170@yahoo.com
171,Customer_171,cust171@yahoo.com
172,Customer_172,cust172@outlook.com
173,Customer_173,cust173@outlook.com
174,Customer_174,cust174@outlook.com
175,Customer_175,
176,Customer_176,cust176@gmail.com
177,Customer_177,cust177@outlook.com
178,Customer_178,cust178@outlook.com
179,Customer_179,cust179@outlook.com
180,Customer_180,cust180@yahoo.com
181,Customer_181,cust181@gmail.com
182,Customer_182,cust182yahoo.com
183,Customer_183,cust183@yahoo.com
184,Customer_184,cust184@outlook.com
185,Customer_185,cust185@outlook.com
186,Customer_186,cust186@gmail.com
187,Customer_187,cust187@outlook.com
188,Customer_188,cust188@yahoo.com
189,Customer_189,cust189@outlook.com
190,Customer_190,cust190@gmail.com
191,Customer_191,cust191@outlook.com
192,Customer_192,cust192@gmail.com
193,Customer_193,cust193@outlook.com
194,Customer_194,cust194@yahoo.com
195,Customer_195,cust195@gmail.com
196,Customer_196,cust196gmail.com
197,Customer_197,cust197@yahoo.com
198,Customer_198,cust198@outlook.com
199,Customer_199,cust199@outlook.com
200,Customer_200,
