id_customer,nama,email,no_hp,kota,tanggal_daftar
105,Customer_105,,+6283432607194,Bandung,2022-09-22
106,Customer_106,user106@gmail.com,+62804767650,Bandung,2021-07-27
107,Customer_107,user107@gmail.com,+62829867690,Jakarta,2022-10-10
108,Customer_108,user108@gmail.com,,Surabaya,2021-10-30
109,Customer_109,user109@gmail.com,+628568397962,Surabaya,2020-12-17
110,Customer_110,user110gmail.com,+62804029729,Jakarta,2020-01-13
111,Customer_111,user111@gmail.com,+628257394813,Bandung,2021-07-24
112,Customer_112,user112@gmail.com,+6285803982100,Surabaya,2020-08-23
113,Customer_113,user113@gmail.com,+628688606525,Jakarta,2022-12-04
114,Customer_114,user114@gmail.com,+6285949746284,Bandung,2022-02-20
115,Customer_115,user115@gmail.com,+62804260343,Jakarta,2022-04-18
116,Customer_116,user116@gmail.com,+62857407945,,2021-05-03
117,Customer_117,user117@gmail.com,+62818390817,Bandung,2022-08-15
118,Customer_118,user118@gmail.com,+62879682575,,2021-01-17
119,Customer_119,user119@gmail.com,+628469874571,,2022-04-16
120,Customer_120,,+628123456789012345,Surabaya,2021-08-17
121,Customer_121,user121@gmail.com,+6287145045171,Bandung,2021-05-03
122,Customer_122,user122@gmail.com,+62837161870726,,2022-07-15
123,Customer_123,user123@gmail.com,+628701360251,Surabaya,2022-11-12
124,Customer_124,user124@gmail.com,+62832844788838,,2021-12-19
125,Customer_125,user125@gmail.com,+62892731934,,2021-03-24
126,Customer_126,user126@gmail.com,+62887385502918,Bandung,2021-12-04
127,Customer_127,user127@gmail.com,+6287332282200,Surabaya,2021-12-06
128,Customer_128,user128@gmail.com,+62862360617642,Bandung,2022-08-11
129,Customer_129,user129@gmail.com,+62822985072,Jakarta,2020-08-05
130,Customer_130,user130gmail.com,+62858459298,Bandung,2021-11-23
131,Customer_131,user131@gmail.com,+628603913236,Surabaya,2020-12-21
132,Customer_132,user132@gmail.com,+62812,Surabaya,2021-05-15
133,Customer_133,user133@gmail.com,+628978479913,,2022-11-16
134,Customer_134,user134@gmail.com,+628669239726,Jakarta,2021-03-01
135,Customer_135,,+62841645975,,2021-03-16
136,Customer_136,user136@gmail.com,+628162888252,Surabaya,2022-10-16
137,Customer_137,user137@gmail.com,+6289732517014,,2022-07-01
138,Customer_138,user138@gmail.com,+62841880982949,,2020-04-16
139,Customer_139,user139@gmail.com,+628009929863,Jakarta,2022-03-17
140,Customer_140,user140gmail.com,,Jakarta,2022-06-05
141,Customer_141,user141@gmail.com,+62887933059,Surabaya,2020-10-23
142,Customer_142,user142@gmail.com,+6287885925042,Bandung,2021-02-05
143,Customer_143,user143@gmail.com,+6289304483484,,2022-12-24
144,Customer_144,user144@gmail.com,+628123456789012345,,2021-10-25
145,Customer_145,user145@gmail.com,+62849255471,Bandung,2021-03-01
146,Customer_146,user146@gmail.com,+62840984318413,Bandung,2021-05-17
147,Customer_147,user147@gmail.com,+62845028005481,Bandung,2022-02-03
148,Customer_148,user148@gmail.com,+628781342926,Bandung,2021-06-03
149,Customer_149,user149@gmail.com,+62827659987748,,2020-04-29
150,Customer_150,,+6288885614957,Jakarta,2022-10-22
